=== SPREAD MONITOR ===
Monitoring 1 pair(s)
Press Ctrl+C to stop

timestamp,pair,spread,hi_pool,tickA,tickB,ageA,ageB
# Fetching initial pool states...
2026-04-15T00:22:13.020Z,SOL/USDC,0.02357%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=0.6s
2026-04-15T00:22:13.052Z,SOL/USDC,0.02564%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=0.6s
2026-04-15T00:22:13.084Z,SOL/USDC,0.02764%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=0.6s
2026-04-15T00:22:13.620Z,SOL/USDC,0.02771%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=1.2s
2026-04-15T00:22:13.621Z,SOL/USDC,0.02778%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=1.2s
2026-04-15T00:22:13.621Z,SOL/USDC,0.02785%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=1.2s
2026-04-15T00:22:14.336Z,SOL/USDC,0.02791%,hi=ts=4,tickA=-24780,tickB=-24782,ageA=0.0s,ageB=1.9s
2026-04-15T00:22:15.093Z,SOL/USDC,0.01295%,hi=ts=4,tickA=-24780,tickB=-24781,ageA=0.8s,ageB=0.0s
2026-04-15T00:22:15.394Z,SOL/USDC,0.01301%,hi=ts=4,tickA=-24780,tickB=-24781,ageA=0.0s,ageB=0.3s
2026-04-15T00:22:15.412Z,SOL/USDC,0.01654%,hi=ts=4,tickA=-24779,tickB=-24781,ageA=0.0s,ageB=0.3s
2026-04-15T00:22:15.413Z,SOL/USDC,0.01725%,hi=ts=4,tickA=-24779,tickB=-24781,ageA=0.0s,ageB=0.3s
2026-04-15T00:22:15.429Z,SOL/USDC,0.01760%,hi=ts=4,tickA=-24779,tickB=-24781,ageA=0.0s,ageB=0.3s
2026-04-15T00:22:15.446Z,SOL/USDC,0.01949%,hi=ts=4,tickA=-24779,tickB=-24781,ageA=0.0s,ageB=0.4s
2026-04-15T00:22:15.600Z,SOL/USDC,0.02319%,hi=ts=4,tickA=-24779,tickB=-24781,ageA=0.0s,ageB=0.5s
2026-04-15T00:22:16.244Z,SOL/USDC,0.02319%,hi=ts=4,tickA=-24779,tickB=-24781,ageA=0.0s,ageB=1.2s
2026-04-15T00:22:16.299Z,SOL/USDC,0.02317%,hi=ts=4,tickA=-24779,tickB=-24781,ageA=0.0s,ageB=1.2s
2026-04-15T00:22:18.790Z,SOL/USDC,0.02388%,hi=ts=4,tickA=-24778,tickB=-24781,ageA=0.0s,ageB=3.7s
